mean weighted edges,mean unweighted edges,mean nmons,std weighted edges,std unweighted edges,std nmons
5755.780000,0.719689,0.225863,474.698295,0.020982,0.007492
5755.780000,0.719689,0.225863,474.698295,0.020982,0.007492
5755.780000,0.719689,0.225863,474.698295,0.020982,0.007492
5755.780000,0.719689,0.225863,474.698295,0.020982,0.007492
5755.780000,0.719689,0.225863,474.698295,0.020982,0.007492
5755.780000,0.719689,0.225863,474.698295,0.020982,0.007492
5755.780000,0.719689,0.225863,474.698295,0.020982,0.007492
5755.780000,0.719689,0.225863,474.698295,0.020982,0.007492
5755.780000,0.719689,0.225863,474.698295,0.020982,0.007492
5755.780000,0.719689,0.225863,474.698295,0.020982,0.007492
5755.780000,0.719689,0.225863,474.698295,0.020982,0.007492
5755.780000,0.719689,0.225863,474.698295,0.020982,0.007492
5755.780000,0.719689,0.225863,474.698295,0.020982,0.007492
5755.780000,0.719689,0.225863,474.698295,0.020982,0.007492
5755.780000,0.719689,0.225863,474.698295,0.020982,0.007492
5755.780000,0.719689,0.225863,474.698295,0.020982,0.007492
5755.780000,0.719689,0.225863,474.698295,0.020982,0.007492
5755.780000,0.719689,0.225863,474.698295,0.020982,0.007492
5755.780000,0.719689,0.225863,474.698295,0.020982,0.007492
5755.780000,0.719689,0.225863,474.698295,0.020982,0.007492
5755.780000,0.719689,0.225863,474.698295,0.020982,0.007492
5755.780000,0.719689,0.225863,474.698295,0.020982,0.007492
5755.780000,0.719689,0.225863,474.698295,0.020982,0.007492
5755.780000,0.719689,0.225863,474.698295,0.020982,0.007492
5755.780000,0.719689,0.225863,474.698295,0.020982,0.007492
5755.780000,0.719689,0.225863,474.698295,0.020982,0.007492
5755.780000,0.719689,0.225863,474.698295,0.020982,0.007492
5755.780000,0.719689,0.225863,474.698295,0.020982,0.007492
5755.780000,0.719689,0.225863,474.698295,0.020982,0.007492
5755.780000,0.719689,0.225863,474.698295,0.020982,0.007492
5755.780000,0.719689,0.225863,474.698295,0.020982,0.007492
5755.780000,0.719689,0.225863,474.698295,0.020982,0.007492
5755.780000,0.719689,0.225863,474.698295,0.020982,0.007492
5755.780000,0.719689,0.225863,474.698295,0.020982,0.007492
5755.780000,0.719689,0.225863,474.698295,0.020982,0.007492
5755.780000,0.719689,0.225863,474.698295,0.020982,0.007492
5755.780000,0.719689,0.225863,474.698295,0.020982,0.007492
5755.780000,0.719689,0.225863,474.698295,0.020982,0.007492
5755.780000,0.719689,0.225863,474.698295,0.020982,0.007492
5755.780000,0.719689,0.225863,474.698295,0.020982,0.007492
5755.780000,0.719689,0.225863,474.698295,0.020982,0.007492
5755.780000,0.719689,0.225863,474.698295,0.020982,0.007492
5755.780000,0.719689,0.225863,474.698295,0.020982,0.007492
5755.780000,0.719689,0.225863,474.698295,0.020982,0.007492
5755.780000,0.719689,0.225863,474.698295,0.020982,0.007492
5755.780000,0.719689,0.225863,474.698295,0.020982,0.007492
5755.780000,0.719689,0.225863,474.698295,0.020982,0.007492
5755.780000,0.719689,0.225863,474.698295,0.020982,0.007492
5755.780000,0.719689,0.225863,474.698295,0.020982,0.007492
5755.780000,0.719689,0.225863,474.698295,0.020982,0.007492
5755.780000,0.719689,0.225863,474.698295,0.020982,0.007492
5755.780000,0.719689,0.225863,474.698295,0.020982,0.007492
5755.780000,0.719689,0.225863,474.698295,0.020982,0.007492
5755.780000,0.719689,0.225863,474.698295,0.020982,0.007492
5755.780000,0.719689,0.225863,474.698295,0.020982,0.007492
5755.780000,0.719689,0.225863,474.698295,0.020982,0.007492
5755.780000,0.719689,0.225863,474.698295,0.020982,0.007492
5755.780000,0.719689,0.225863,474.698295,0.020982,0.007492
5755.780000,0.719689,0.225863,474.698295,0.020982,0.007492
5755.780000,0.719689,0.225863,474.698295,0.020982,0.007492
5755.780000,0.719689,0.225863,474.698295,0.020982,0.007492
5755.780000,0.719689,0.225863,474.698295,0.020982,0.007492
5755.780000,0.719689,0.225863,474.698295,0.020982,0.007492
5755.780000,0.719689,0.225863,474.698295,0.020982,0.007492
5755.780000,0.719689,0.225863,474.698295,0.020982,0.007492
5755.780000,0.719689,0.225863,474.698295,0.020982,0.007492
5755.780000,0.719689,0.225863,474.698295,0.020982,0.007492
5755.780000,0.719689,0.225863,474.698295,0.020982,0.007492
5755.780000,0.719689,0.225863,474.698295,0.020982,0.007492
5755.780000,0.719689,0.225863,474.698295,0.020982,0.007492
5755.780000,0.719689,0.225863,474.698295,0.020982,0.007492
5755.780000,0.719689,0.225863,474.698295,0.020982,0.007492
5755.780000,0.719689,0.225863,474.698295,0.020982,0.007492
5755.780000,0.719689,0.225863,474.698295,0.020982,0.007492
5755.780000,0.719689,0.225863,474.698295,0.020982,0.007492
